unique_id,MAE_RF,MSE_RF,R2_RF,MAPE_RF,MAE_KNN,MSE_KNN,R2_KNN,MAPE_KNN
FOODS_1_004,1269.4849196213943,2674756.1618717313,-0.8919236660003662,127.57048825240105,1250.5438983623799,2164246.8781246096,-0.530827522277832,118.74518731219467
FOODS_1_018,522.2574181189904,426304.03635144694,-0.5281749963760376,0.2111128304136403,486.8969257061298,385558.4008175788,-0.382114052772522,0.19012996856958847
FOODS_1_032,987.8992074819712,1379362.3378253947,-1.158186912536621,6.477143496079946e+17,542.9102032001202,722994.29026947,-0.1312159299850464,6.294567052953216e+17
FOODS_1_043,942.1020273061899,1467005.9831710425,-0.42902112007141113,228.55060733350393,922.824941781851,1531064.5840376192,-0.4914209842681885,126.895435574857
FOODS_1_046,714.043931227464,626459.0588029809,-8.234713554382324,0.4461678456390741,301.15193997896637,122321.94743348658,-0.8031635284423828,0.19324722033139718
FOODS_1_085,481.89896334134613,391076.43261299457,-4.833963394165039,0.18505219850451274,490.5530442457933,343229.16107041907,-4.12019157409668,0.186510557886886
FOODS_1_218,1024.0240854116587,1653924.2241694848,-1.4990851879119873,0.30053654411763503,986.4671536959135,1312455.5715312362,-0.983124852180481,0.29562382223145395
FOODS_2_021,1095.075467623197,1936067.4737813117,-2.646218776702881,59.239149835158734,1300.6661940354568,2391542.6123639587,-3.5040197372436523,61.2266347200869
FOODS_2_128,1244.4920466496394,2709264.2415838297,-1.9407849311828613,31.2732680220092,920.059326171875,1674843.194957685,-0.8179671764373779,23.79800742037819
FOODS_2_181,610.7350135216346,561793.0108112189,-0.7322523593902588,0.24636854311933684,684.1203143780048,716474.9693813083,-1.2092041969299316,0.26889512912531577
FOODS_2_197,589.8689669095553,408771.6997920312,-10.92544937133789,0.3115170008587928,630.992178109976,534553.8259842086,-14.595000267028809,0.34763868668547315
FOODS_2_276,488.88620229867786,390148.9628863163,-6.147428035736084,0.3048732706579865,406.4142315204327,276683.50719146087,-4.068770408630371,0.2565510650839044
FOODS_2_326,1442.8314772385818,2428510.238464939,-23.75495719909668,0.4292744370266974,1261.5848764272837,1847515.6757203857,-17.832605361938477,0.3792747710945721
FOODS_2_347,812.0115825946515,863856.3043434302,-3.589594841003418,0.3503527755688846,598.4715482271635,562443.5386359188,-1.9882142543792725,0.25526471204400925
FOODS_2_360,2401.3978647085337,10097447.716532167,-1.2776410579681396,26.62973205171266,1982.8605299729568,5903062.725284518,-0.3315303325653076,19.20278628249923
FOODS_3_007,963.0977971003606,1212365.8591884708,-1.2617528438568115,0.4825940681336584,1005.9136305588943,1464564.8792185462,-1.7322475910186768,0.5294316719983382
FOODS_3_030,2229.6079758864184,7791926.793490861,-7.962163925170898,6.5717832851231375,2087.7978515625,5594654.544912661,-5.434893608093262,9.729315247036626
FOODS_3_080,588.9605243389423,480688.80144406285,-2.301896333694458,0.17143184926583938,776.1576585036057,947321.2560457771,-5.507238864898682,0.2360343970424047
FOODS_3_086,921.4911358173077,1128660.4578874111,-1.2650821208953857,0.4001727408625318,687.010986328125,669711.3905133628,-0.34402787685394287,0.28994944736714134
FOODS_3_090,7522.876239483173,106224804.80917463,-3.549668312072754,2.6098768043619476,9022.676682692309,124690922.09854653,-4.34058141708374,2.1988155980993525
FOODS_3_099,972.4965538611779,1905058.4419067283,-6.878366947174072,0.2894203281506884,576.9596604567307,471249.7010228634,-0.9488524198532104,0.1799850630857912
FOODS_3_109,358.5659836989183,197574.78305699618,-0.3104442358016968,0.2288621171604598,410.8650653545673,266717.898133232,-0.7690461874008179,0.269973627908926
FOODS_3_120,2404.0563213641826,7786273.368199444,-4.07614803314209,0.29722666165142286,3135.003136268029,11144905.776967732,-6.265759468078613,0.4138300205837878
FOODS_3_150,1588.8563748873198,3807487.855994947,-1.0433075428009033,126.22770563516204,1658.8185248741736,4288428.361010786,-1.3014068603515625,143.33442041703097
FOODS_3_154,1785.9048508864182,4431829.319633215,-39.57893753051758,1.6736049247893539,1416.6604849008413,2707577.7681710985,-23.791259765625,1.372529980623106
FOODS_3_202,1953.4497633713943,4315899.49386069,-1.268099308013916,0.46019386358489023,1677.9300443209136,3623639.7461427865,-0.904301643371582,0.4341343194645978
